"timestamp","system_time","lat","lon","speed","bearing","provider"
"1558635713000","1558635711994","43.00532552","-78.78577084","7.5","54.0","gps"
"1558635714000","1558635712994","43.00536786","-78.78567309","8.25","52.1","gps"
"1558635715000","1558635713995","43.00540586","-78.78557923","8.75","66.9","gps"
"1558635716000","1558635714993","43.00543795","-78.7854628","9.5","71.4","gps"
"1558635717000","1558635715994","43.00546935","-78.78534169","10.25","76.0","gps"
"1558635718000","1558635716995","43.00550404","-78.7852182","11.25","75.9","gps"
"1558635719000","1558635717988","43.00552856","-78.78508528","11.25","75.9","gps"
"1558635720000","1558635718992","43.00555566","-78.78491894","13.0","72.0","gps"
"1558635721000","1558635719994","43.00560899","-78.7847803","13.75","69.4","gps"
"1558635722000","1558635720994","43.00565282","-78.784624","14.25","69.0","gps"
"1558635723000","1558635721993","43.00569967","-78.7844498","15.0","66.2","gps"
"1558635724000","1558635722993","43.00576274","-78.78427612","15.75","63.8","gps"
"1558635725000","1558635723995","43.0058301","-78.78409808","16.5","63.2","gps"
"1558635726000","1558635724995","43.00589594","-78.78391555","17.0","62.5","gps"
"1558635727000","1558635725986","43.00596503","-78.78373037","17.25","61.6","gps"
"1558635728000","1558635726992","43.00604469","-78.78354594","17.75","58.2","gps"
"1558635729000","1558635727997","43.00613166","-78.78336071","17.75","56.1","gps"
"1558635730000","1558635728994","43.0062268","-78.78317292","18.25","55.1","gps"
"1558635731000","1558635729993","43.00632125","-78.7830124","18.0","53.0","gps"
"1558635732000","1558635730986","43.00642158","-78.78283125","18.0","53.0","gps"
"1558635733000","1558635731992","43.00653752","-78.78266224","18.25","46.6","gps"
"1558635734000","1558635732993","43.0066565","-78.78249485","19.0","45.8","gps"
"1558635735000","1558635733993","43.00677997","-78.78232578","19.0","45.3","gps"
"1558635736000","1558635734988","43.00689941","-78.78216109","19.0","45.3","gps"
"1558635737000","1558635735992","43.00702288","-78.78199836","19.25","42.4","gps"
"1558635738000","1558635736997","43.00715456","-78.7818405","19.25","41.5","gps"
"1558635739000","1558635737987","43.00728255","-78.78168605","19.25","41.5","gps"
"1558635740000","1558635738993","43.00738994","-78.78157764","16.25","42.6","gps"
"1558635741000","1558635739994","43.00749553","-78.78144209","16.5","43.8","gps"
"1558635742000","1558635740995","43.00759114","-78.78129626","16.75","46.3","gps"
"1558635743000","1558635742002","43.00769035","-78.78114079","17.75","43.3","gps"
"1558635744000","1558635742992","43.00780728","-78.78098876","18.5","41.5","gps"
"1558635745000","1558635743993","43.00794545","-78.78082672","19.25","39.8","gps"
"1558635746000","1558635744993","43.00807121","-78.7806708","20.0","38.3","gps"
"1558635747000","1558635745993","43.00820988","-78.78051969","20.75","36.2","gps"
"1558635748000","1558635746994","43.0083648","-78.78036693","20.5","36.0","gps"
"1558635749000","1558635747995","43.00850545","-78.78021857","20.5","35.4","gps"
"1558635750000","1558635748995","43.00865598","-78.78007803","20.75","33.0","gps"
"1558635751000","1558635749992","43.00880044","-78.77994203","19.5","33.8","gps"
"1558635752000","1558635750999","43.00895347","-78.77982488","19.75","31.6","gps"
"1558635753000","1558635751994","43.00911135","-78.77970272","19.5","30.9","gps"
"1558635754000","1558635752994","43.00927156","-78.77959203","19.0","29.2","gps"
"1558635755000","1558635754002","43.00942262","-78.77947206","18.5","28.5","gps"
"1558635756000","1558635754993","43.00956777","-78.77936307","18.0","27.0","gps"
"1558635757000","1558635755995","43.00971938","-78.77926048","17.25","25.2","gps"
"1558635758000","1558635756994","43.00985923","-78.77919377","16.75","22.7","gps"
"1558635759000","1558635757988","43.00999542","-78.77911458","15.5","21.8","gps"
"1558635760000","1558635758995","43.01010155","-78.77904344","14.0","21.1","gps"
"1558635761000","1558635759995","43.01019453","-78.77897218","12.0","20.9","gps"
"1558635762000","1558635760993","43.01028865","-78.77892249","11.0","17.2","gps"
"1558635763000","1558635761995","43.01036184","-78.7788796","8.5","16.8","gps"
"1558635764000","1558635762993","43.01042036","-78.77884287","6.0","17.5","gps"
"1558635765000","1558635763993","43.01044469","-78.7788135","4.5","20.3","gps"
"1558635766000","1558635764993","43.01045662","-78.77880692","2.0","22.8","gps"
"1558635769000","1558635767993","43.01046606","-78.77878074","0.0","0.0","gps"
"1558635771000","1558635769993","43.01046301","-78.77876757","0.0","0.0","gps"
"1558635773000","1558635771992","43.01047054","-78.77877647","0.5","14.6","gps"
"1558635774000","1558635772993","43.01047992","-78.77876738","1.75","28.9","gps"
"1558635775000","1558635773987","43.01049295","-78.77875757","1.75","28.9","gps"
"1558635776000","1558635774993","43.01053131","-78.77873472","3.5","47.7","gps"
"1558635777000","1558635775994","43.01055572","-78.7787083","3.5","48.3","gps"
"1558635778000","1558635776993","43.0105662","-78.77867014","3.75","66.5","gps"
"1558635779000","1558635777986","43.01057975","-78.77862765","3.75","66.5","gps"
"1558635780000","1558635778994","43.01051627","-78.77854404","6.25","125.7","gps"
"1558635781000","1558635779994","43.01048264","-78.77847328","6.5","119.3","gps"
"1558635782000","1558635780993","43.01042989","-78.77839754","8.0","126.9","gps"
"1558635783000","1558635781985","43.0103866","-78.77831898","8.0","126.9","gps"
"1558635784000","1558635782992","43.01032673","-78.77821916","9.75","125.0","gps"
"1558635785000","1558635783986","43.0102733","-78.77812151","10.25","125.3","gps"
"1558635786000","1558635784987","43.01017721","-78.7780024","11.5","129.8","gps"
"1558635787000","1558635785991","43.01011345","-78.77787429","12.25","125.4","gps"
"1558635788000","1558635786989","43.0100453","-78.7777474","12.5","124.3","gps"
